Time (s)	Processed X Gyro	Processed Y Gyro	Processed Z Gyro	Processed X Accel	Processed Y Accel	Processed Z Accel
711.003856	-11.28176594	15.62359619	9.494203568	-0.034627881	0.16447708	-0.994493544
711.0664206	-10.38156033	3.222023726	0.754245341	-0.028559616	0.102163218	-0.94848752
711.1293706	6.663078785	1.654875755	0.366289943	-0.072120443	0.046854779	-1.04243052
711.1935541	6.241986752	-7.434407711	16.02343178	-0.041543063	-0.015716571	-0.96305418
711.2543818	30.16077995	-27.97613716	48.42742538	-0.088929318	-0.101211436	-0.965412855
711.3163523	8.831671715	-3.522211075	44.24903107	-0.137319446	-0.123775885	-1.116209149
711.3795277	8.728928566	40.90123749	-9.843448639	-0.125172243	-0.085842103	-1.182833791
711.443335	-2.205788374	1.879552484	-24.36367798	-0.107904434	-0.035470471	-1.185355544
711.5053347	-17.39162064	15.42435169	9.163027763	-0.020583587	0.05797933	-1.071582556
711.5662051	-14.63599396	-4.928770542	-1.115190744	-0.052594464	0.074270375	-1.034296751
711.6292549	0.882160068	0.872629642	-5.352366447	-0.013914239	0.097612374	-1.047665119
711.6931866	0.537101448	-12.64461517	4.381218433	-0.030532129	0.098677047	-0.991344452
711.7562012	-15.23580456	0.839112341	-5.222895622	-0.054910768	0.077448077	-0.958046556
711.8170297	-7.90419054	10.77653122	-3.458310366	-0.042959753	0.061765652	-0.928772211
711.8799252	-14.51679516	0.944305301	1.508003473	-0.03815316	0.084299736	-0.823432922
711.9411627	-14.55012798	0.688194454	12.21259022	0.022183996	0.140931681	-0.793123841
712.0040557	2.341964483	-19.43730927	26.56981468	-0.042463537	0.074819572	-0.925160229
712.0658447	15.30393505	13.31387615	26.59723473	-0.094355494	-0.017016321	-1.036273956
712.1320324	20.75873184	-2.922621965	-9.708821297	-0.141199768	-0.053334322	-1.071739554
712.192208	29.88499641	-9.315421104	2.463828564	-0.043428876	-0.013000431	-1.029510379
712.2539136	11.7823019	20.56889534	3.80858016	-0.036663298	0.016419055	-0.974569082
712.318921	24.01246452	-20.46488571	17.69464684	0.085119836	0.103006139	-1.015521526
